SCRIPT,CATEGORY,DESCRIPTION,
download-file.ps1,filesystem,Downloads a file from an URL,
edit.ps1,desktop,Edits the given file with the built-in text editor,
enable-crash-dumps.ps1,filesystem,Enables the writing of crash dumps,
enable-god-mode.ps1,desktop,Enables the god mode (adds a new icon to the desktop),
encrypt-file.ps1,filesystem,Encrypts the given file,
export-to-manuals.ps1,filesystem,Converts all scripts as manuals,
export-to-serenade.ps1, ,Converts all scripts to Serenade for voice control,
fetch-repo.ps1, ,Fetches updates for the current/given Git repository (including submodules),
fetch-repos.ps1, ,Fetches updates for all Git repositories under the current/given directory (including submodules),
get-md5.ps1, ,Prints the MD5 checksum of the given file,
get-sha1.ps1, ,Prints the SHA1 checksum of the given file,
get-sha256.ps1, ,Prints the SHA256 checksum of the given file,
hibernate.ps1, ,Enables hibernate mode for the local computer (needs admin rights),
inspect-exe.ps1, ,Prints basic information of the given executable file,
install-audacity.ps1, ,Installs Audacity,
install-basic-apps.ps1, ,Installs basic apps,
install-basic-snaps.ps1, ,Installs basic Linux snaps,
install-calibre-server.ps1, ,Installs Calibre server (needs admin rights),
install-chocolatey.ps1, ,Installs Chocolatey (needs admin rights),
install-chrome.ps1, ,Installs Chrome,
install-crystal-disk-info.ps1, ,Installs CrystalDiskInfo,
install-crystal-disk-mark.ps1, ,Installs CrystalDiskMark,
install-discord.ps1, ,Installs Discord,
install-edge.ps1, ,Installs Microsoft Edge,
install-evcc.ps1, ,Installs evcc,
install-firefox.ps1, ,Installs Mozilla Firefox,
install-git-extensions.ps1, ,Installs Git Extensions,
install-git-for-windows.ps1, ,Installs Git for Windows,
install-github-cli.ps1, ,Installs GitHub CLI,
install-irfanview.ps1, ,Installs IrfanView,
install-knot-resolver.ps1, ,Installs Knot Resolver (needs admin rights),
install-microsoft-teams.ps1, ,Installs Microsoft Teams,
install-netflix.ps1, ,Installs Netflix,
install-nine-zip.ps1, ,Installs 9 ZIP,
install-obs-studio.ps1, ,Installs OBS Studio (needs admin rights),
install-octoprint.ps1, ,install-octoprint.ps1,
install-one-calendar.ps1, ,Installs One Calendar,
install-opera-browser.ps1, ,Installs Opera Browser,
install-opera-gx.ps1, ,Installs Opera GX,
install-paint-3d.ps1, ,Installs Paint 3D,
install-power-toys.ps1, ,Installs Microsoft Powertoys,
install-powershell.ps1, ,"Install PowerShell on Windows, Linux or macOS",
install-rufus.ps1, ,Installs Rufus,
install-signal-cli.ps1, ,Installs signal-cli,
install-skype.ps1, ,Installs Skype,
install-spotify.ps1, ,Installs Spotify,
install-ssh-client.ps1, ,Installs a SSH client (needs admin rights),
install-ssh-server.ps1, ,Installs a SSH server (needs admin rights),
install-thunderbird.ps1, ,Installs Thunderbird,
install-twitter.ps1, ,Installs Twitter,
install-unbound-server.ps1, ,Installs Unbound server (needs admin rights),
install-updates.ps1, ,Installs software updates,
install-visual-studio-code.ps1, ,Installs Visual Studio Code,
install-vivaldi.ps1, ,Installs Vivaldi,
install-vlc.ps1, ,Installs VLC,
install-windows-terminal.ps1, ,Installs Windows Terminal,
install-wsl.ps1, ,Installs Windows Subsystem for Linux (needs admin rights),
install-zoom.ps1, ,Installs Zoom,
introduce-powershell.ps1, ,Introduces PowerShell to new users,
list-aliases.ps1, ,Lists all PowerShell aliases,
list-anagrams.ps1, ,Lists all anagrams of the given word,
list-automatic-variables.ps1, ,Lists the automatic variables of PowerShell,
list-branches.ps1, ,Lists all branches in the current/given Git repository,
list-cheat-sheet.ps1, ,Lists the PowerShell cheat sheet,
list-city-weather.ps1, ,Lists the current weather of cities worldwide (east to west),
list-commits.ps1, ,Lists all commits in the current/given Git repository,
list-console-colors.ps1, ,Lists all console colors,
list-countries.ps1, ,Lists details of all countries,
list-cli-tools.ps1, ,Lists available command-line interface (CLI) tools,
list-clipboard.ps1, ,Lists the contents of the clipboard,
list-credits.ps1, ,Shows the credits,
list-crypto-rates.ps1, ,Lists the current crypto exchange rates,
list-dir-tree.ps1, ,Lists the directory tree content,
list-drives.ps1, ,Lists all drives,
list-environment-variables.ps1, ,Lists all environment variables,
list-emojis.ps1, ,Lists the emojis of Unicode 13.0,
list-empty-dirs.ps1, ,Lists empty subfolders within the given directory tree,
list-empty-files.ps1, ,Lists empty files within the given directory tree,
list-files.ps1, ,Lists all files in the given folder and also in every subfolder,
list-folder.ps1, ,Lists the folder content,
list-fritzbox-calls.ps1, ,Lists the FRITZ!Box calls,
list-fritzbox-devices.ps1, ,Lists FRITZ!Box's known devices,
list-hidden-files.ps1, ,Lists hidden files within the given directory tree,
list-installed-apps.ps1, ,Lists the installed Windows Store apps,
list-installed-software.ps1, ,Lists the installed software (except Windows Store apps),
list-latest-tag.ps1, ,Lists the latest tag on the current branch in a Git repository,
list-latest-tags.ps1, ,Lists the latests tags in all Git repositories under the current/given directory,
list-memos.ps1, ,Lists the memos at $HOME/Memos.csv,
list-unused-files.ps1, ,Lists unused files in a directory tree,
list-cmdlets.ps1, ,Lists the PowerShell cmdlets,
list-earthquakes.ps1, ,Lists earthquakes with magnitude >= 6.0 for the last 30 days,
list-exchange-rates.ps1, ,Lists the exchange rates for the given currency,
list-modules.ps1, ,Lists the PowerShell modules,
list-mysql-tables.ps1, ,Lists the MySQL server tables,
list-network-shares.ps1, ,Lists the network shares of the local computer,
list-news.ps1, ,Lists the latest news,
list-os-releases.ps1, ,Lists operating system releases and download URL,
list-os-updates.ps1, ,Lists operating system updates,
list-passwords.ps1, ,Prints a list of random passwords,
list-pins.ps1, ,Prints a list of random PIN's,
list-printers.ps1, ,Lists all printer known to the computer,
list-print-jobs.ps1, ,Lists all jobs of all printers,
list-processes.ps1, ,Lists the local computer processes,
list-profiles.ps1, ,Lists your PowerShell profiles,
list-recycle-bin.ps1, ,Lists the content of the recycle bin folder,
list-scripts.ps1, ,Lists all PowerShell scripts in this repository,
list-services.ps1, ,Lists the services on the local computer,
list-sql-tables.ps1, ,Lists the SQL server tables,
list-submodules.ps1, ,Lists the submodules of the current/given Git repository,
list-system-info.ps1, ,Lists system information on the local computer,
list-tags.ps1, ,Lists all tags in the current/given Git repository,
list-tasks.ps1, ,Lists all Windows scheduler tasks,
list-timezone.ps1, ,Lists the current time zone details,
list-timezones.ps1, ,Lists all time zones available,
list-tiobe-index.ps1, ,Lists the TIOBE index of top programming languages,
list-user-groups.ps1, ,Lists the user groups on the local computer,
list-voices.ps1, ,Lists the installed text-to-speech (TTS) voices,
list-weather.ps1, ,Lists the hourly weather,
list-workdir.ps1, ,Lists the current working directory,
locate-city.ps1, ,Prints the geographic location of the given city,
locate-ipaddress.ps1, ,Prints the geographic location of the given IP address,
locate-zip-code.ps1, ,Prints the geographic location of the given zip-code,
make-install.ps1,git,Copies newer EXE's + DLL's from the build directory to the installation directory,
measure-BubbleSort.ps1,misc,Measures the speed of BubbleSort,
measure-BucketSort.ps1,misc,Measures the speed of BucketSort,
measure-CountingSort.ps1,misc,Measures the speed of CountingSort,
measure-HeapSort.ps1,misc,Measures the speed of HeapSort,
measure-InsertionSort.ps1,misc,Measures the speed of InsertionSort,
measure-MergeSort.ps1,misc,Measures the speed of MergeSort,
measure-QuickSort.ps1,misc,Measures the speed of QuickSort,
measure-SelectionSort.ps1,misc,Measures the speed of SelectionSort,
measure-sorting-algorithms.ps1,misc,Measures the speed of sorting algorithms,
minimize-all-windows.ps1,desktop,Minimizes all windows,
move-mouse-pointer.ps1,desktop,Moves the mouse pointer,
new-branch.ps1,git,Creates a new Git branch,
new-email.ps1,desktop,Opens the default email client to write a new email,
new-qrcode.ps1,misc,Generates a QR code,
new-script.ps1,misc,Creates a new PowerShell script file,
new-shortcut.ps1,filesystem,Creates a new shortcut file,
new-symlink.ps1,filesystem,Creates a new symbolic link file,
new-tag.ps1,git,Creates a new tag in a Git repository,
new-user.ps1,misc,Creates a new user account,
new-zipfile.ps1,filesystem,Creates a new .ZIP file from a folder (including subfolders),
on-desktop-login.ps1,desktop,Executes tasks on desktop login,
open-apps-folder.ps1,desktop,Opens the Apps folder,
open-auto-start-folder.ps1,desktop,Opens the autostart folder,
open-browser.ps1, ,Starts the default Web browser,
open-calculator.ps1, ,Starts the calculator program,
open-c-drive.ps1, ,Opens the C: drive folder,
open-downloads-folder.ps1, ,Opens the user's downloads folder,
open-dropbox-folder.ps1, ,Opens the user's Dropbox folder,
open-email-client.ps1, ,Starts the default email client,
open-facebook.ps1, ,Opens Facebook's website,
open-file-explorer.ps1, ,Opens the File Explorer,
open-fritz-box.ps1, ,Opens FRITZ!Box's web interface,
open-github.ps1,desktop,Opens GitHub's website,
open-google-books.ps1,desktop,Opens Google Books,
open-google-calendar.ps1,desktop,Opens Google Calendar,
open-google-contacts.ps1,desktop,Opens Google Contacts,
open-google-docs.ps1,desktop,Opens Google Docs,
open-google-earth.ps1,desktop,Opens Google Earth,
open-google-mail.ps1,desktop,Opens Google Mail,
open-google-maps.ps1,desktop,Opens Google Maps,
open-google-news.ps1,desktop,Opens Google News,
open-google-photos.ps1, ,Opens Google Photos,
open-google-play.ps1, ,Opens Google Play,
open-google-search.ps1, ,Opens Google Search,
open-google-stadia.ps1, ,Opens Google Stadia,
open-google-translate.ps1, ,Opens Google Translate,
open-home-folder.ps1, ,Opens the user's home folder,
open-music-folder.ps1, ,Opens the user's music folder,
open-microsoft-edge.ps1, ,Launches the Microsoft Edge Web browser,
open-microsoft-store.ps1, ,Starts the Microsoft Store app,
open-netflix.ps1, ,Starts the Netflix app,
open-notepad.ps1, ,Starts the Notepad app,
open-onedrive-folder.ps1, ,Opens the user's OneDrive folder,
open-recycle-bin.ps1, ,Opens the user's recycle bin folder,
open-repos-folder.ps1, ,Opens the user's Git repositories folder,
open-snipping-tools.ps1, ,Opens the Snipping Tool,
open-speed-test.ps1, ,Opens Cloudflare's speed test,
open-spotify.ps1, ,Opens the Spotify app,
open-system-settings.ps1, ,Launches the Windows system settings,
open-task-manager.ps1, ,Launches the Task Manager,
open-toggl-track.ps1, ,Opens Toggl Track,
open-videos-folder.ps1, ,Opens the user's videos folder,
open-windows-terminal.ps1, ,Launches Windows Terminal,
open-wikipedia.ps1, ,Opens Wikipedia's website,
open-youtube.ps1, ,Opens YouTube.com,
pick-commit.ps1,git,Cherry-picks a Git commit into multiple branches,
ping-weather.ps1, ,Ping the currrent weather conditions,
play-bee-sound.ps1,audio,"Plays a bee sound",
play-beep-sound.ps1,audio,"Plays a short beep sound",
play-cat-sound.ps1,audio,"Plays a cat sound",
play-cow-sound.ps1,audio,"Plays a cow sound",
play-dog-sound.ps1,audio,"Plays a dog sound",
play-donkey-sound.ps1,audio,"Plays a donkey sound",
play-elephant-sound.ps1,audio,"Plays an elephant sound",
play-elk-sound.ps1,audio,"Plays an elk sound",
play-files.ps1,audio,"Plays audio files (MP3 and WAV)",
play-frog-sound.ps1,audio,"Plays a frog sound",
play-goat-sound.ps1,audio,"Plays a goat sound",
play-gorilla-sound.ps1,audio,"Plays a gorilla sound",
play-happy-birthday.ps1,audio,"Plays the Happy Birthday song",
play-horse-sound.ps1,audio,"Plays a horse sound",
play-imperial-march.ps1,audio,"Plays the Imperial March (Star Wars)",
play-jingle-bells.ps1,audio,"Plays Jingle Bells",
play-lion-sound.ps1,audio,"Plays a lion sound",
play-m3u.ps1,audio,"Plays a playlist (.M3U format)",
play-mission-impossible.ps1,audio,"Plays the Mission Impossible theme",
play-mp3.ps1,audio,"Plays a MP3 sound file",
play-parrot-sound.ps1,audio,"Plays a parrot sound",
play-pig-sound.ps1,audio,"Plays a pig sound",
play-pong.ps1,game,"play-pong.ps1",
play-rattlesnake-sound.ps1,audio,"Plays a rattlesnake sound",
play-rick.ps1,fun,"Plays Rick Astley",
play-snake.ps1,game,"Play the Snake game",
play-super-mario.ps1,audio,"Plays the Super Mario intro",
play-tetris-melody.ps1,audio,"Plays the Tetris melody",
play-vulture-sound.ps1,audio,"Plays a vulture sound",
play-wolf-sound.ps1,audio,"Plays a wolf sound",
poweroff.ps1, ,Halts the local computer (needs admin rights),
publish-to-ipfs.ps1, ,Publishes the given files or directory to IPFS,
pull-repo.ps1,git,Pulls updates for the current/given Git repository (including submodules),
pull-repos.ps1,git,Pulls updates for all Git repositories under the current/given directory (including submodules),
query-smart-data.ps1, ,Queries the S.M.A.R.T. data of your HDD/SSD's and saves it to the current/given directory,
new-branch.ps1, ,Creates a new branch in the current/given Git repository,
new-email.ps1, ,Starts the default email client to write a new email,
new-qrcode.ps1, ,Generates a new QR code,
new-script.ps1, ,Creates a new PowerShell script,
new-shortcut.ps1, ,Creates a new shortcut file,
new-symlink.ps1, ,Creates a new symbolic link file,
new-tag.ps1, ,Creates a new tag in a Git repository,
new-zipfile.ps1, ,Creates a new .zip file from a directory,
reboot.ps1, ,Reboots the local computer (needs admin rights),
reboot-fritzbox.ps1, ,Reboots the FRITZ!box device,
remind-me.ps1, ,Creates a scheduled task that will display a popup message,
remove-empty-dirs.ps1,filesystem,"Removes all empty subfolders within a directory tree",
remove-old-dirs.ps1,filesystem,"Removes old directories",
remove-print-jobs.ps1,misc,"Removes all jobs from all printers",
remove-tag.ps1,git,"Removes a Git tag (locally, remote, or both)",
replace-in-files.ps1, ,Search and replace a pattern in the given files by the replacement,
restart-network-adapters.ps1, ,Restarts all local network adapters,
save-screenshot.ps1, ,Saves a single screenshot,
search-filename.ps1, ,Searches the directory tree for filenames by given pattern,
search-files.ps1, ,Searches the given pattern in the given files,
scan-ports.ps1, ,Scans the network for open/closed ports,
send-email.ps1, ,Sends an email message,
send-tcp.ps1, ,Sends a TCP message to the given IP address and port,
send-udp.ps1, ,Sends a UDP datagram message to the given IP address and port,
set-profile.ps1, ,Updates your PowerShell user profile,
set-timer.ps1, ,Sets a timer for a countdown,
set-wallpaper.ps1, ,Sets the given image as wallpaper,
simulate-matrix.ps1, ,Simulates the Matrix (fun),
simulate-presence.ps1, ,Simulates the human presence against burglars,
speak-arabic.ps1,audio,"Speaks text in Arabic",
speak-checklist.ps1,audio,"Speaks a checklist by text-to-speech",
speak-countdown.ps1,audio,"Speaks a countdown by text-to-speech",
speak-croatian.ps1,audio,"Speaks text in Croatian",
speak-danish.ps1,audio,"Speaks text in Danish",
speak-dutch.ps1,audio,"Speaks text in Dutch",
speak-english.ps1,audio,"Speaks text in English",
speak-epub.ps1,audio,"Speaks an Epub file by text-to-speech (TTS).",
speak-esperanto.ps1,audio,"Speaks text in Esperanto",
speak-file.ps1,audio,"Speaks file content by text-to-speech",
speak-finnish.ps1,audio,"Speaks text in Finnish",
speak-french.ps1,audio,"Speaks text in French",
speak-german.ps1,audio,"Speaks text in German",
speak-greek.ps1,audio,"Speaks text in Greek",
speak-hebrew.ps1,audio,"Speaks text in Hebrew",
speak-hindi.ps1,audio,"Speaks text in Hindi",
speak-italian.ps1,audio,"Speaks text in Italian",
speak-japanese.ps1,audio,"Speaks text in Japanese",
speak-korean.ps1,audio,"Speaks text in Korean",
speak-latin.ps1,audio,"Speaks text in Latin",
speak-mandarin.ps1,audio,"Speaks text in Mandarin",
speak-norwegian.ps1,audio,"Speaks text in Norwegian",
speak-polish.ps1,audio,"Speaks text in Polish",
speak-portuguese.ps1,audio,"Speaks text in Portuguese",
speak-russian.ps1,audio,"Speaks text in Russian",
speak-spanish.ps1,audio,"Speaks text in Spanish",
speak-swedish.ps1,audio,"Speaks text in Swedish",
speak-test.ps1,audio,"speak-test.ps1",
speak-text.ps1,audio,"Speaks text by the default text-to-speech voice",
speak-thai.ps1,audio,"Speaks text in Thai",
speak-turkish.ps1,audio,"Speaks text in Turkish",
speak-ukrainian.ps1,audio,"Speaks text in Ukrainian",
start-calibre-server.ps1, ,Starts a local Calibre server,
start-ipfs-server.ps1, ,Starts a local IPFS server,
switch-branch.ps1,git,"Switches the Git branch",
switch-shelly1.ps1,misc,"Switches a Shelly1 device",
switch-tabs.ps1,desktop,"Switches browser tabs",
sync-repo.ps1, ,Synchronizes a Git repository by pull & push (including submodules),
tell-joke.ps1, ,Tells a random joke by text-to-speech,
tell-quote.ps1, ,Tells a random quote by text-to-speech,
toggle-caps-lock.ps1,desktop,Toggle Caps Lock,
toggle-num-lock.ps1,desktop,Toggle Num Lock,
toggle-scroll-lock.ps1,desktop,Toggle Scroll Lock,
translate-file.ps1, ,Translates the given text file into another language,
translate-files.ps1, ,Translates the given text files into any supported language,
translate-text.ps1, ,Translates the given text into other languages,
turn-volume-down.ps1,audio,Turns the volume down,
turn-volume-fully-up.ps1,audio,Turns the volume fully up,
turn-volume-off.ps1,audio,Turn audio off,
turn-volume-on.ps1,audio,Turn audio on,
turn-volume-up.ps1,audio,Turns the volume up,
uninstall-all-apps.ps1, ,"Uninstalls all apps",
uninstall-bloatware.ps1, ,"Uninstalls bloatware",
uninstall-chrome.ps1, ,"Uninstalls the Chrome browser",
uninstall-crystal-disk-info.ps1, ,"Uninstalls CrystalDiskInfo",
uninstall-crystal-disk-mark.ps1, ,"Uninstalls CrystalDiskMark",
uninstall-discord.ps1, ,"Uninstalls Discord",
uninstall-edge.ps1, ,"Uninstalls Microsoft Edge",
uninstall-firefox.ps1, ,"Uninstalls Mozilla Firefox",
uninstall-git-extensions.ps1, ,"Uninstalls Git Extensions",
uninstall-github-cli.ps1, ,"Uninstalls GitHub CLI",
uninstall-irfanview.ps1, ,"Uninstalls IrfanView",
uninstall-microsoft-teams.ps1, ,"Uninstalls Microsoft Teams",
uninstall-netflix.ps1, ,"Uninstalls Netflix",
uninstall-nine-zip.ps1, ,"Uninstalls 9 ZIP",
uninstall-one-calendar.ps1, ,"Uninstalls One Calendar",
uninstall-opera-browser.ps1, ,"Uninstalls Opera Browser",
uninstall-opera-gx.ps1, ,"Uninstalls Opera GX",
uninstall-paint-3d.ps1, ,"Uninstalls Paint 3D",
uninstall-rufus.ps1, ,"Uninstalls Rufus",
uninstall-skype.ps1, ,"Uninstalls Skype",
uninstall-spotify.ps1, ,"Uninstalls Spotify",
uninstall-twitter.ps1, ,"Uninstalls Twitter",
uninstall-visual-studio-code.ps1, ,"Uninstalls Visual Studio Code",
uninstall-vlc.ps1, ,"Uninstalls VLC",
uninstall-windows-terminal.ps1, ,"Uninstalls Windows Terminal",
upgrade-ubuntu.ps1, ,Upgrades Ubuntu Linux,
upload-file.ps1, ,Uploads a local file to a FTP server,
upload-to-dropbox.ps1, ,Uploads a file to Dropbox,
wake-up.ps1, ,Wakes up a computer using Wake-on-LAN,
weather-report.ps1, ,Lists the local weather report,
weather.ps1, ,Lists the current weather forecast,
what-is.ps1, ,Explains an abbreviation,
write-animated.ps1, ,Writes animated text,
write-ascii-image.ps1, ,write-ascii-image.ps1,
write-big.ps1, ,Writes text in big letters,
write-blue.ps1, ,Writes text in a blue foreground color,
write-braille.ps1, ,Writes text in Braille,
write-changelog.ps1, ,Writes a changelog,
write-chart.ps1, ,write-chart.ps1,
write-green.ps1, ,Writes text in a green foreground color,
write-in-emojis.ps1, ,Writes text in Emojis,
write-joke.ps1, ,Writes a random joke,
write-lowercase.ps1, ,Writes text in lowercase letters,
write-marquee.ps1, ,Writes text as marquee,
write-moon.ps1, ,Writes the moon phase,
write-morse-code.ps1, ,Writes Morse code,
write-motd.ps1, ,Writes the message of the day,
write-qr-code.ps1, ,Writes a QR code,
write-quote.ps1, ,Writes a random quote,
write-red.ps1, ,Writes text in a red foreground color,
write-rot13.ps1, ,Writes text encoded or decoded with ROT13,
write-shit.ps1, ,Writes shit,
write-sine-curves.ps1, ,Write sine curves,
write-time.ps1, ,Writes the current time,
write-typewriter.ps1, ,Writes text á la typewriter,
write-uppercase.ps1, ,Writes text in uppercase letters,
write-vertical.ps1, ,Writes text in vertical direction,
