"StatusCode","Type","ShortDescription","LongDescription"
"431","Client Error","Request Header Fields Too Large ","The server is unwilling to process the request because its header fields are too large. The request MAY be resubmitted after reducing the size of the request header fields."
"444","Client Error","Connection Closed Without Response ","A non-standard status code used to instruct nginx to close the connection without sending a response to the client, most commonly used to deny malicious or malformed requests."
"451","Client Error","Unavailable For Legal Reasons ","The server is denying access to the resource as a consequence of a legal demand."
"499","Client Error","Client Closed Request ","A non-standard status code introduced by nginx for the case when a client closes the connection while nginx is processing the request."
"500","Server Error","Internal Server Error ","The server encountered an unexpected condition that prevented it from fulfilling the request."
"501","Server Error","Not Implemented ","The server does not support the functionality required to fulfill the request."
"502","Server Error","Bad Gateway ","The server, while acting as a gateway or proxy, received an invalid response from an inbound server it accessed while attempting to fulfill the request."
"503","Server Error","Service Unavailable ","The server is currently unable to handle the request due to a temporary overload or scheduled maintenance, which will likely be alleviated after some delay."
"504","Server Error","Gateway Timeout ","The server, while acting as a gateway or proxy, did not receive a timely response from an upstream server it needed to access in order to complete the request."
"505","Server Error","HTTP Version Not Supported ","The server does not support, or refuses to support, the major version of HTTP that was used in the request message."
"506","Server Error","Variant Also Negotiates ","The server has an internal configuration error: the chosen variant resource is configured to engage in transparent content negotiation itself, and is therefore not a proper end point in the negotiation process."
"507","Server Error","Insufficient Storage ","The method could not be performed on the resource because the server is unable to store the representation needed to successfully complete the request."
"508","Server Error","Loop Detected ","The server terminated an operation because it encountered an infinite loop while processing a request with ""Depth: infinity"". This status indicates that the entire operation failed."
"510","Server Error","Not Extended ","The policy for accessing the resource has not been met in the request. The server should send back all the information necessary for the client to issue an extended request."
"511","Server Error","Network Authentication Required ","The client needs to authenticate to gain network access."
"599","Server Error","Network Connect Timeout Error ","This status code is not specified in any RFCs, but is used by some HTTP proxies to signal a network connect timeout behind the proxy to a client in front of the proxy."

